   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.1194004e-05   2.2522243e-01   2.1356208e-01   1.8709749e-01   3.7409681e-01
   4.4437927e-05   3.8353472e-01   2.6470027e-01   1.3455272e-01   2.1716786e-01
   5.0008571e-05   3.8290522e-03   2.8010968e-02   4.7265136e-01   4.9545861e-01
   6.5033492e-05   1.4481712e-01   2.1556059e-01   6.1143128e-01   2.8125981e-02
   7.9872797e-05   5.5048078e-01   2.2477574e-01   2.0055321e-01   2.4110393e-02
   1.2979645e-04   4.6410570e-02   7.5268006e-01   1.1345330e-02   1.8943425e-01
   3.2268474e-04   1.2907389e-03   5.8696354e-01   1.0971281e-01   3.0171023e-01
   4.0044820e-04   5.4298808e-02   6.9686923e-02   5.0820959e-01   3.6740423e-01
   5.5701500e-04   2.1060714e-01   2.6215970e-01   4.8838789e-01   3.8288257e-02
   7.4257118e-04   4.0547031e-01   3.0243402e-02   2.6769566e-02   5.3677415e-01
   9.3181563e-04   9.2773463e-02   4.3961598e-01   4.4918123e-01   1.7497513e-02
   9.8345853e-04   1.4157434e-01   9.2634087e-02   2.6265775e-01   5.0215036e-01
   1.0219709e-03   7.1593675e-03   2.3985878e-01   5.5616550e-01   1.9579438e-01
   1.7818959e-03   1.2045617e-01   2.8510335e-03   3.2323592e-01   5.5167498e-01
   1.7933888e-03   4.4600621e-01   8.7444500e-03   1.4350327e-01   3.9995268e-01
   1.8374420e-03   4.7358679e-04   2.5107497e-01   2.2847583e-01   5.1813818e-01
   1.8793038e-03   2.2189824e-01   3.5784303e-01   3.2942756e-01   8.8951869e-02
   1.9407173e-03   5.5867111e-02   4.4884447e-01   5.4060263e-02   4.3928744e-01
   2.3565793e-03   3.1135728e-01   2.1382107e-01   1.7809982e-01   2.9436525e-01
   2.3696772e-03   1.9869614e-01   3.8609514e-01   4.0748496e-01   5.3540796e-03
   2.3973550e-03   3.3377573e-01   3.2261053e-01   2.2152757e-01   1.1968881e-01
   2.4244621e-03   1.4695913e-01   4.0142981e-01   8.4569455e-02   3.6461715e-01
   2.4740711e-03   2.6855841e-02   3.2820983e-01   1.8879502e-01   4.5366524e-01
