   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.4813366e-04   7.8778950e-02   1.6526822e-01   1.0908892e-01   2.5432557e-01   2.6502729e-02   1.0946838e-01   2.5631910e-01
   5.1429736e-04   2.5362958e-02   2.4616910e-01   3.8534490e-01   1.4963175e-01   3.4000434e-02   6.6907784e-02   9.2068782e-02
   9.5308982e-04   9.1223755e-02   5.3237741e-02   5.6753796e-02   1.5753576e-01   9.0894992e-04   3.2295313e-02   6.0709159e-01
   9.8337664e-04   1.4913724e-02   1.9332066e-01   7.6292157e-02   5.9282547e-03   1.0957486e-01   3.1119235e-01   2.8779461e-01
   9.9280218e-04   2.4571854e-02   2.4820055e-04   2.8791263e-02   3.4847357e-01   1.5264334e-01   3.4822537e-01   9.6053611e-02
   1.1555397e-03   3.6273245e-02   8.0708258e-02   2.9270027e-01   5.7245293e-02   3.8281990e-02   4.5667442e-01   3.6960984e-02
   1.1748975e-03   2.2106328e-01   8.8974072e-03   1.5043964e-01   1.9768324e-01   3.5279573e-02   3.0519317e-01   8.0268796e-02
   1.1774115e-03   2.5879489e-02   1.0442305e-01   2.5089503e-02   3.0245048e-01   4.2882825e-02   3.3188828e-01   1.6620896e-01
   1.3041444e-03   4.8416303e-03   3.6590595e-01   8.3055989e-02   5.7673312e-02   3.5471885e-01   5.7061899e-04   1.3192951e-01
   1.4224751e-03   1.0363747e-02   1.7374517e-01   3.8671002e-01   2.1316806e-01   1.8045113e-01   1.2802276e-02   2.1337127e-02
   1.7336974e-03   5.5298517e-02   3.9316010e-03   3.1123386e-01   1.6701814e-01   2.2026230e-02   1.5143410e-01   2.8732384e-01
