   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   5.8413532e-05   2.8797646e-02   3.1816679e-01   1.5423653e-02   6.2803149e-02   3.5028862e-01   2.8278659e-02   7.2272856e-02   1.2391021e-01
   1.6118177e-04   8.1916758e-02   2.3519726e-01   1.6948127e-02   8.1006129e-02   1.8836851e-01   3.4846977e-02   3.5678850e-01   4.7665615e-03
   3.5588591e-04   1.0788397e-01   1.4622681e-02   2.7585600e-01   2.4656256e-01   2.5263398e-01   2.2240217e-02   7.2226335e-02   7.6183790e-03
   9.5218078e-04   2.2837612e-01   8.9282644e-02   1.9776518e-01   3.8211582e-02   1.9182322e-01   2.0887117e-01   1.7051306e-02   2.7666602e-02
   2.3212551e-03   1.2322121e-01   2.0388278e-01   3.1707593e-02   2.3641350e-01   3.6481658e-02   2.9387880e-01   5.8909671e-04   7.1504106e-02
   4.5737343e-03   3.0970848e-01   1.9991874e-02   2.3277067e-01   6.4632376e-03   1.1270600e-01   1.7692817e-04   3.4464696e-02   2.7914439e-01
   6.3439293e-03   5.7742779e-03   6.0311326e-02   2.7995395e-02   2.6184937e-01   2.0759853e-01   1.6546535e-01   2.6258232e-01   2.0794943e-03
   7.5240008e-03   2.0229639e-01   5.1213903e-02   2.2261413e-02   2.5822089e-01   2.8898835e-02   1.6072320e-01   2.5346269e-01   1.5398670e-02
   7.8234144e-03   1.1567477e-01   5.5043308e-01   2.0089410e-01   1.6485052e-02   8.9410450e-03   4.4705225e-03   4.8337524e-02   4.6940486e-02
   8.3797190e-03   2.5617207e-01   2.6655888e-02   7.3553207e-02   2.0406780e-01   2.4680659e-01   2.7963511e-02   5.3658485e-02   1.0274272e-01
